16.6,29.4,121.7,18.6,14.3,40.5
15.8,33.8,62.4,19.3,14.9,34.1
18.1,43.7,33.4,15.5,15.2,33.5
18.1,64.5,26.8,14.6,38.1,29.2
26.1,77.8,29.2,14.6,87.2,27.7
24.0,129.4,22.9,14.5,81.3,26.7
25.4,121.2,20.5,13.6,64.0,27.0
30.9,119.4,18.2,14.9,48.3,26.4
39.9,62.3,21.5,14.8,44.3,23.5
56.7,30.7,15.7,21.5,47.0,22.6
74.8,28.7,15.2,93.6,49.5,17.1
127.9,26.6,13.5,81.4,54.2,15.9
117.8,23.8,13.9,71.9,45.9,16.7
117.6,19.2,14.5,57.2,40.8,15.9
59.2,18.5,14.5,43.9,33.6,16.6
54.3,21.9,15.8,45.8,34.1,17.7
25.9,14.9,21.6,50.7,32.0,17.5
28.2,14.1,92.5,46.8,27.1,20.3
25.3,13.8,77.3,54.5,29.3,23.9
21.0,14.6,69.3,41.1,26.1,25.3
19.1,14.5,49.6,36.5,27.8,30.0
22.1,15.2,41.5,31.5,25.9,36.2
16.1,21.1,47.2,33.0,22.9,44.7
15.3,40.2,49.8,28.4,17.5,70.2
13.8,85.4,47.7,28.0,16.1,86.7
14.6,73.1,48.9,27.0,15.8,125.0
13.7,66.7,40.1,27.8,16.6,112.6
14.7,45.7,31.1,26.0,16.8,71.1
15.6,46.4,33.1,25.4,16.5,59.2
20.8,50.3,33.1,23.4,17.8,29.4
90.9,46.2,25.3,16.4,19.3,26.7
76.7,50.7,30.0,16.7,23.7,26.5
67.5,48.8,24.7,16.1,24.9,21.1
47.9,40.9,27.3,16.1,29.4,20.1
46.4,31.4,24.4,15.7,34.7,19.6
44.5,34.2,23.2,17.9,44.0,20.4
51.5,30.0,17.5,17.8,64.3,14.8
48.7,27.8,16.8,25.6,76.4,13.7
48.8,26.9,15.9,22.6,124.7,13.4
42.8,27.0,15.6,26.5,122.2,13.6
32.1,26.8,16.2,30.2,127.8,14.9
31.8,23.7,17.0,37.7,62.4,15.4
34.0,21.9,17.5,56.1,30.2,20.6
27.7,16.6,18.0,75.1,28.3,40.4
27.0,16.7,25.6,128.3,27.9,83.4
26.1,15.6,23.2,118.5,23.4,74.2
26.5,16.2,24.4,112.7,21.9,68.3
