5.2,3.3,12.0,49.8,92.8
4.4,2.5,10.2,48.1,95.5
3.5,1.9,9.4,48.2,90.3
2.5,1.1,8.1,49.9,95.0
1.9,0.6,6.8,48.3,91.4
1.7,0.5,7.3,45.5,92.6
1.6,0.6,7.7,43.5,95.0
1.3,0.7,9.2,46.4,103.0
0.9,0.8,11.3,40.9,106.5
0.6,1.1,15.8,32.1,105.2
0.4,1.6,27.1,24.8,72.0
0.2,2.3,40.9,20.6,67.7
0.1,3.0,40.8,19.7,73.3
0.2,4.3,40.1,21.5,59.1
0.3,6.5,42.5,79.7,24.1
0.5,9.5,45.2,98.1,11.2
0.8,14.9,34.4,111.7,11.7
1.4,21.3,29.2,72.2,11.6
2.0,35.1,22.6,70.2,59.6
3.1,43.1,19.5,70.3,48.9
4.3,41.9,19.6,69.0,43.1
5.5,41.4,20.2,67.1,39.4
7.1,42.9,73.1,55.0,37.9
8.4,40.9,69.6,42.8,40.1
10.5,38.8,71.2,43.4,38.5
11.8,39.1,71.9,41.2,39.3
14.8,37.6,75.8,44.4,39.0
16.9,39.7,70.5,45.3,39.4
18.4,38.3,72.1,47.1,11.0
20.2,35.7,73.4,49.0,10.6
21.8,36.5,72.1,54.5,7.5
24.2,30.2,71.3,54.8,8.5
25.6,24.0,66.6,61.4,9.3
29.5,20.2,66.2,59.5,10.3
29.1,13.3,64.3,55.5,10.8
35.4,7.4,67.6,54.5,10.7
37.0,2.1,77.0,45.6,10.5
34.2,2.1,88.3,34.3,10.8
32.0,2.1,90.5,29.8,10.2
32.8,2.3,57.5,22.3,9.5
30.5,2.9,57.0,20.0,9.9
29.6,44.9,54.6,15.9,40.6
8.2,51.6,52.5,14.8,38.0
1.1,61.0,53.6,13.7,42.2
1.1,65.0,53.6,12.7,39.2
1.2,70.5,50.7,12.0,43.1
1.3,73.9,50.4,11.0,40.9
1.5,77.3,45.7,10.9,42.6
34.2,78.6,40.8,10.6,42.9
33.4,84.4,38.1,10.4,40.1
33.7,82.1,39.5,9.6,8.9
35.7,80.6,35.5,8.6,8.8
34.9,81.9,35.3,8.3,8.3
37.5,83.4,33.2,8.3,7.7
36.1,81.4,33.6,8.0,7.2
37.0,78.8,33.9,7.7,6.9
35.3,71.3,42.6,7.5,6.0
34.3,64.1,39.9,8.1,5.7
34.5,57.3,39.8,9.1,5.2
